wall_time,frame,strategy,confidence,near_face,final_detected
1781795525.921,85056,final,0.0,0,0
1781795526.195,85059,final,0.0,0,0
1781795526.461,85062,final,0.0,0,0
1781795526.723,85065,final,0.0,0,0
1781795526.989,85068,final,0.0,0,0
1781795527.253,85071,final,0.0,0,0
1781795527.516,85074,final,0.0,0,0
1781795527.782,85077,final,0.0,0,0
1781795528.053,85080,final,0.0,0,0
1781795528.316,85083,final,0.0,0,0
1781795528.584,85086,final,0.0,0,0
1781795528.851,85089,final,0.0,0,0
1781795529.127,85092,final,0.0,0,0
1781795529.399,85095,final,0.0,0,0
1781795529.668,85098,final,0.0,0,0
1781795529.935,85101,final,0.0,0,0
1781795530.196,85104,final,0.0,0,0
1781795530.478,85107,final,0.0,0,0
1781795530.74,85110,final,0.0,0,0
1781795531.007,85113,final,0.0,0,0
1781795531.268,85116,final,0.0,0,0
1781795531.529,85119,final,0.0,0,0
1781795531.801,85122,final,0.0,0,0
1781795532.066,85125,final,0.0,0,0
1781795532.343,85128,final,0.0,0,0
1781795532.612,85131,final,0.0,0,0
1781795532.886,85134,final,0.0,0,0
1781795533.158,85137,final,0.0,0,0
1781795533.439,85140,final,0.0,0,0
1781795533.702,85143,final,0.0,0,0
1781795533.999,85146,final,0.0,0,0
1781795534.286,85149,final,0.0,0,0
1781795534.604,85152,final,0.0,0,0
1781795534.901,85155,final,0.0,0,0
1781795535.224,85158,final,0.0,0,0
1781795535.517,85161,final,0.0,0,0
1781795535.841,85164,final,0.0,0,0
1781795536.128,85167,final,0.0,0,0
1781795536.443,85170,final,0.0,0,0
1781795536.74,85173,final,0.0,0,0
1781795537.055,85176,final,0.0,0,0
1781795537.375,85179,final,0.0,0,0
1781795537.68,85182,final,0.0,0,0
1781795537.976,85185,final,0.0,0,0
1781795538.259,85188,final,0.0,0,0
1781795538.559,85191,final,0.0,0,0
1781795538.875,85194,final,0.0,0,0
1781795539.144,85197,final,0.0,0,0
1781795539.413,85200,final,0.0,0,0
1781795539.679,85203,final,0.0,0,0
1781795539.947,85206,final,0.0,0,0
1781795540.21,85209,final,0.0,0,0
1781795540.485,85212,final,0.0,0,0
1781795540.754,85215,final,0.0,0,0
1781795541.026,85218,final,0.0,0,0
1781795541.289,85221,final,0.0,0,0
1781795541.557,85224,final,0.0,0,0
1781795541.834,85227,final,0.0,0,0
1781795542.097,85230,final,0.0,0,0
1781795542.362,85233,final,0.0,0,0
1781795542.632,85236,final,0.0,0,0
1781795542.909,85239,final,0.0,0,0
1781795543.183,85242,final,0.0,0,0
1781795543.453,85245,final,0.0,0,0
1781795543.712,85248,final,0.0,0,0
1781795543.993,85251,final,0.0,0,0
1781795544.277,85254,final,0.0,0,0
1781795544.599,85257,final,0.0,0,0
1781795544.894,85260,final,0.0,0,0
1781795545.208,85263,final,0.0,0,0
1781795545.487,85266,final,0.0,0,0
1781795545.748,85269,final,0.0,0,0
1781795546.016,85272,final,0.0,0,0
1781795546.327,85275,final,0.0,0,0
1781795546.627,85278,final,0.0,0,0
1781795546.949,85281,final,0.0,0,0
1781795547.263,85284,final,0.0,0,0
1781795547.602,85287,final,0.0,0,0
1781795547.889,85290,final,0.0,0,0
1781795548.206,85293,final,0.0,0,0
1781795548.493,85296,final,0.0,0,0
1781795548.809,85299,final,0.0,0,0
1781795549.096,85302,final,0.0,0,0
1781795549.404,85305,final,0.0,0,0
1781795549.69,85308,final,0.0,0,0
1781795549.998,85311,final,0.0,0,0
1781795550.28,85314,final,0.0,0,0
1781795550.616,85317,final,0.0,0,0
1781795550.918,85320,final,0.0,0,0
1781795551.227,85323,final,0.0,0,0
1781795551.561,85326,final,0.0,0,0
1781795551.859,85329,final,0.0,0,0
1781795552.141,85332,final,0.0,0,0
1781795552.458,85335,final,0.0,0,0
1781795552.737,85338,final,0.0,0,0
1781795553.012,85341,final,0.0,0,0
1781795553.314,85344,final,0.0,0,0
1781795553.631,85347,final,0.0,0,0
1781795553.906,85350,final,0.0,0,0
1781795554.221,85353,final,0.0,0,0
1781795554.518,85356,final,0.0,0,0
1781795554.828,85359,final,0.0,0,0
1781795555.127,85362,final,0.0,0,0
1781795555.429,85365,final,0.0,0,0
1781795555.747,85368,final,0.0,0,0
1781795556.045,85371,final,0.0,0,0
1781795556.366,85374,final,0.0,0,0
1781795556.641,85377,final,0.0,0,0
1781795556.975,85380,final,0.0,0,0
1781795557.262,85383,final,0.0,0,0
1781795557.576,85386,final,0.0,0,0
1781795557.882,85389,final,0.0,0,0
1781795558.177,85392,final,0.0,0,0
1781795558.445,85395,final,0.0,0,0
1781795558.717,85398,final,0.0,0,0
1781795558.989,85401,final,0.0,0,0
1781795559.266,85404,final,0.0,0,0
1781795559.537,85407,final,0.0,0,0
1781795559.795,85410,final,0.0,0,0
1781795560.069,85413,final,0.0,0,0
1781795560.385,85416,final,0.0,0,0
1781795560.681,85419,final,0.0,0,0
1781795560.996,85422,final,0.0,0,0
1781795561.299,85425,final,0.0,0,0
1781795561.602,85428,final,0.0,0,0
1781795561.912,85431,final,0.0,0,0
1781795562.2,85434,final,0.0,0,0
1781795562.5,85437,final,0.0,0,0
1781795562.786,85440,final,0.0,0,0
1781795563.102,85443,final,0.0,0,0
1781795563.398,85446,final,0.0,0,0
1781795563.706,85449,final,0.0,0,0
1781795563.996,85452,final,0.0,0,0
1781795564.312,85455,final,0.0,0,0
1781795564.623,85458,final,0.0,0,0
1781795564.926,85461,final,0.0,0,0
1781795565.245,85464,final,0.0,0,0
1781795565.537,85467,final,0.0,0,0
1781795565.845,85470,final,0.0,0,0
1781795566.137,85473,final,0.0,0,0
1781795566.47,85476,final,0.0,0,0
1781795566.747,85479,final,0.0,0,0
1781795567.074,85482,final,0.0,0,0
1781795567.387,85485,final,0.0,0,0
1781795567.713,85488,final,0.0,0,0
1781795567.99,85491,final,0.0,0,0
1781795568.264,85494,final,0.0,0,0
1781795568.54,85497,final,0.0,0,0
1781795568.825,85500,final,0.0,0,0
1781795569.099,85503,final,0.0,0,0
1781795569.366,85506,final,0.0,0,0
1781795569.63,85509,final,0.0,0,0
1781795569.896,85512,final,0.0,0,0
1781795570.167,85515,final,0.0,0,0
1781795570.438,85518,final,0.0,0,0
1781795570.803,85521,final,0.0,0,0
1781795571.195,85524,final,0.0,0,0
1781795571.556,85527,final,0.0,0,0
1781795571.926,85530,final,0.0,0,0
